⺀	(⺀,Cd,,部首補充)
⺁	(,Ls,,部首補充)
⺂	(乛,Bm,,部首補充)
⺃	(⺃,Hu,,部首補充)
⺄	(乛,Bm,,部首補充)
⺅	(亻,Iu,,部首補充)
⺆	(,Od,,部首補充)
⺇	(,Kx,,部首補充)
⺈	(,Na,,部首補充)
⺉	(刂,Rj,,部首補充)
⺊	(,Pg,,部首補充)
⺋	(㔾,Jf,,部首補充)
⺌	(,Ig,,部首補充)
⺍	(,Jp,,部首補充)
⺎	(兀,Se,,部首補充)
⺏	(八儿,AyDi,,部首補充)
⺐	(尢,Se,,部首補充)
⺑	(八几,AyKx,,部首補充)
⺒	(巳,Ew,,部首補充)
⺓	(幺,Cp,,部首補充)
⺔	(彑,Zj,,部首補充)
⺕	(彐,Qj,,部首補充)
⺖	(忄,Gi,,部首補充)
⺗	(⺗,Gi,,部首補充)
⺘	(扌,Vl,,部首補充)
⺙	(攵,Vj,,部首補充)
⺛	(旡,Rh,,部首補充)
⺜	(二,OdHt,,部首補充)
⺝	(,Hz,,部首補充)
⺞	(夕,PgQy,,部首補充)
⺟	(母,Sh,,部首補充)
⺠	(民,Ic,,部首補充)
⺡	(氵,Me,,部首補充)
⺢	(氺,Bk,,部首補充)
⺣	(灬,Xl,,部首補充)
⺤	(爫,Ch,,部首補充)
⺥	(⺥,Ch,,部首補充)
⺦	(丬,Hw,,部首補充)
⺧	(,Rs,,部首補充)
⺨	(犭,Ro,,部首補充)
⺩	(,Ks,,部首補充)
⺪	(,If,,部首補充)
⺫	(罒,Dd,,部首補充)
⺬	(⺬,Th,,部首補充)
⺭	(礻,Nq,,部首補充)
⺮	(,KhKh,,部首補充)
⺯	(糹,Cp,,部首補充)
⺰	(纟,Li,,部首補充)
⺱	(㐅,OdQi,,部首補充)
⺲	(罒,Dd,,部首補充)
⺳	(冖八,OdAy,,部首補充)
⺴	(冖儿,OdDi,,部首補充)
⺵	(,OdRj,,部首補充)
⺶	(⺶,As,,部首補充)
⺷	(,As,,部首補充)
⺸	(⻀干,QlYc,,部首補充)
⺹	(耂,Rh,,部首補充)
⺺	(⺺,Ja,,部首補充)
⺻	(⺻,Ja,,部首補充)
⺼	(⺼,Rk,,部首補充)
⺽	(⺽,Bq,,部首補充)
⺾	(卄,Ql,,部首補充)
⺿	(⺿,Ql,,部首補充)
⻀	(⻀,Ql,,部首補充)
⻁	(虍几,PtKx,,部首補充)
⻂	(衤,Nq,,部首補充)
⻃	(西,Xg,,部首補充)
⻄	(西,Xg,,部首補充)
⻅	(见,Lw,,部首補充)
⻆	(角,Tj,,部首補充)
⻇	(冂仌,NaOdLc,,部首補充)
⻈	(讠,Sc,,部首補充)
⻉	(贝,Qh,,部首補充)
⻊	(,Hb,,部首補充)
⻋	(车,Ep,,部首補充)
⻌	(辶,Df,,部首補充)
⻍	(辶,Df,,部首補充)
⻎	(辶,Df,,部首補充)
⻏	(阝,Er,,部首補充)
⻐	(钅,Al,,部首補充)
⻑	(⻑,Is,,部首補充)
⻒	(镸,Is,,部首補充)
⻓	(长,Zx,,部首補充)
⻔	(门,Zi,,部首補充)
⻕	(丿𮍌,LbUv,,部首補充)
⻖	(阝,Er,,部首補充)
⻗	(,Er,,部首補充)
⻘	(龶,BpHz,,部首補充)
⻙	(韦,Fy,,部首補充)
⻚	(页,Mg,,部首補充)
⻛	(乂,KxQi,,部首補充)
⻜	(飞,Jf,,部首補充)
⻝	(亽艮,AfIx,,部首補充)
⻞	(⻞,Nn,,部首補充)
⻟	(飠,Nn,,部首補充)
⻠	(饣,Uu,,部首補充)
⻡	(巛丆目,PvZrFm,,部首補充)
⻢	(马,Wm,,部首補充)
⻣	(骨,Uv,,部首補充)
⻤	(厶,JdFi,,部首補充)
⻥	(鱼,Bi,,部首補充)
⻦	(鸟,Uc,,部首補充)
⻧	(囗乂,PgXtQi,,部首補充)
⻨	(龶夂,BpSp,,部首補充)
⻩	(龷由八,XjKvAy,,部首補充)
⻪	(口电,PrZf,,部首補充)
⻫	(齐二,EyHt,,部首補充)
⻬	(文,HfRj,,部首補充)
⻭	(止米凵,HlZcMd,,部首補充)
⻮	(止人凵,HlSkMd,,部首補充)
⻯	(立,JkZf,,部首補充)
⻰	(龙,Tl,,部首補充)
⻱	(乂,BtQjQjQi,,部首補充)
⻲	(日电,NaWrZf,,部首補充)
⻳	(,NaZf,,部首補充)
⼀	(一,Fk,,康熙部首)
⼁	(丨,Gp,,康熙部首)
⼂	(丶,Ms,,康熙部首)
⼃	(丿,Lb,,康熙部首)
⼄	(乛,Bm,,康熙部首)
⼅	(丨,Gp,,康熙部首)
⼆	(二,Ht,,康熙部首)
⼇	(亠,Ww,,康熙部首)
⼈	(人,Sk,,康熙部首)
⼉	(儿,Di,,康熙部首)
⼊	(入,Lh,,康熙部首)
⼋	(八,Ay,,康熙部首)
⼌	(,Od,,康熙部首)
⼍	(冖,Od,,康熙部首)
⼎	(冫,Wj,,康熙部首)
⼏	(几,Kx,,康熙部首)
⼐	(凵,Md,,康熙部首)
⼑	(刀,Jz,,康熙部首)
⼒	(力,So,,康熙部首)
⼓	(勹,Kl,,康熙部首)
⼔	(匕,Ys,,康熙部首)
⼕	(匸,Xm,,康熙部首)
⼖	(匸,Xm,,康熙部首)
⼗	(十,Eo,,康熙部首)
⼘	(卜,Pg,,康熙部首)
⼙	(,Jf,,康熙部首)
⼚	(厂,Ls,,康熙部首)
⼛	(厶,Fi,,康熙部首)
⼜	(又,Zn,,康熙部首)
⼝	(口,Pr,,康熙部首)
⼞	(口,Pr,,康熙部首)
⼟	(土,Ck,,康熙部首)
⼠	(士,Nx,,康熙部首)
⼡	(夊,Sp,,康熙部首)
⼢	(夊,Sp,,康熙部首)
⼣	(夕,Qy,,康熙部首)
⼤	(大,Nf,,康熙部首)
⼥	(女,Ou,,康熙部首)
⼦	(子,Lg,,康熙部首)
⼧	(宀,Dx,,康熙部首)
